iter	Passed	Remaining
933	75531	442026
934	75612	441950
935	75683	441811
936	75764	441732
937	75843	441636
938	75921	441543
939	76001	441457
940	76081	441370
941	76162	441288
942	76239	441185
943	76319	441100
944	76400	441018
945	76472	440891
946	76543	440751
947	76625	440677
948	76706	440595
949	76788	440525
950	76870	440448
951	76950	440362
952	77029	440273
953	77112	440206
954	77198	440152
955	77279	440075
956	77361	439999
957	77434	439875
958	77507	439748
959	77587	439661
960	77670	439595
961	77751	439512
962	77830	439423
963	77908	439324
964	77984	439220
965	78061	439115
966	78147	439065
967	78227	438976
968	78299	438850
969	78374	438737
970	78444	438596
971	78522	438495
972	78608	438444
973	78687	438354
974	78761	438235
975	78842	438156
976	78921	438066
977	78991	437926
978	79071	437840
979	79149	437742
980	79223	437625
981	79303	437540
982	79384	437461
983	79460	437355
984	79540	437273
985	79611	437135
986	79690	437044
987	79758	436894
988	79838	436809
989	79915	436707
990	79986	436576
991	80067	436498
992	80148	436418
993	80227	436328
994	80307	436244
995	80384	436141
996	80464	436056
997	80547	435989
998	80627	435907
999	80705	435808
1000	80776	435676
1001	80863	435629
1002	80938	435518
1003	81019	435439
1004	81092	435315
1005	81173	435237
1006	81255	435164
1007	81330	435051
1008	81401	434921
1009	81473	434792
1010	81551	434701
1011	81630	434608
1012	81710	434527
1013	81790	434439
1014	81878	434397
1015	81949	434270
1016	82037	434226
1017	82124	434176
1018	82202	434083
1019	82276	433970
1020	82382	434023
1021	82456	433903
1022	82533	433803
1023	82615	433733
1024	82684	433588
1025	82758	433471
1026	82836	433380
1027	82909	433257
1028	82989	433176
1029	83068	433086
1030	83138	432947
1031	83220	432875
1032	83302	432802
1033	83375	432680
1034	83454	432591
1035	83534	432509
1036	83611	432411
1037	83689	432313
1038	83769	432229
1039	83848	432140
1040	83922	432029
1041	84000	431934
1042	84072	431809
1043	84158	431756
1044	84233	431647
1045	84332	431661
1046	84419	431613
1047	84498	431525
1048	84577	431432
1049	84673	431432
1050	84750	431333
1051	84842	431307
1052	84920	431217
1053	84993	431098
1054	85075	431019
1055	85156	430945
1056	85228	430819
1057	85309	430741
1058	85393	430675
1059	85482	430639
1060	85566	430576
1061	85645	430486
1062	85716	430358
1063	85809	430337
1064	85922	430417
1065	85993	430292
1066	86076	430220
1067	86159	430153
1068	86241	430079
1069	86312	429949
1070	86397	429891
1071	86483	429836
1072	86566	429765
1073	86655	429726
1074	86735	429642
1075	86819	429577
1076	86896	429480
1077	86996	429493
1078	87074	429399
1079	87155	429322
1080	87237	429246
1081	87322	429187
1082	87408	429135
1083	87481	429015
1084	87563	428937
1085	87676	429017
1086	87758	428944
1087	87832	428831
1088	87923	428798
1089	88004	428718
1090	88093	428678
1091	88182	428635
1092	88252	428506
1093	88330	428412
1094	88411	428331
1095	88495	428267
1096	88575	428180
1097	88649	428068
1098	88728	427977
1099	88819	427948
1100	88892	427831
1101	88984	427803
1102	89066	427730
1103	89143	427629
1104	89216	427513
1105	89299	427442
1106	89372	427322
1107	89443	427199
1108	89533	427161
1109	89614	427082
1110	89693	426990
1111	89775	426917
1112	89855	426832
1113	89926	426708
1114	90005	426617
1115	90077	426495
1116	90163	426438
1117	90241	426347
1118	90319	426254
1119	90397	426157
1120	90484	426106
1121	90564	426023
1122	90644	425939
1123	90721	425840
1124	90802	425762
1125	90879	425665
1126	90954	425557
1127	91032	425461
1128	91113	425385
1129	91197	425317
1130	91345	425553
1131	91436	425519
1132	91524	425471
1133	91600	425369
1134	91678	425276
1135	91756	425179
1136	91838	425107
1137	91912	424996
1138	91993	424914
1139	92075	424837
1140	92152	424742
1141	92231	424654
1142	92307	424548
1143	92388	424470
1144	92459	424345
1145	92531	424223
1146	92605	424113
1147	92681	424009
1148	92752	423886
1149	92834	423811
1150	92909	423704
1151	92979	423571
1152	93061	423496
1153	93148	423446
1154	93229	423368
1155	93310	423286
1156	93395	423224
1157	93478	423154
1158	93558	423070
1159	93642	423006
1160	93724	422928
1161	93807	422861
1162	93884	422762
1163	93957	422648
1164	94036	422560
1165	94173	422732
1166	94253	422644
1167	94340	422595
1168	94431	422559
1169	94512	422479
1170	94589	422381
1171	94668	422292
1172	94749	422214
1173	94828	422125
1174	94901	422007
1175	94983	421934
1176	95057	421823
1177	95137	421738
1178	95222	421675
1179	95304	421599
1180	95382	421510
1181	95465	421437
1182	95538	421324
1183	95616	421228
1184	95699	421158
1185	95781	421084
1186	95863	421007
1187	95948	420946
1188	96031	420876
1189	96105	420762
1190	96184	420674
1191	96254	420549
1192	96333	420458
1193	96412	420370
1194	96489	420273
1195	96568	420186
1196	96644	420082
1197	96727	420015
1198	96802	419908
1199	96882	419825
1200	96960	419729
1201	97041	419650
1202	97130	419607
1203	97209	419518
1204	97290	419441
1205	97377	419385
1206	97452	419279
1207	97538	419222
1208	97628	419179
1209	97709	419102
1210	97834	419210
1211	97918	419143
1212	98000	419068
1213	98090	419027
1214	98170	418942
1215	98254	418873
1216	98337	418802
1217	98415	418709
1218	98493	418618
1219	98569	418517
1220	98651	418442
1221	98723	418322
1222	98802	418235
1223	98879	418139
1224	98955	418034
1225	99024	417905
1226	99103	417818
1227	99184	417736
1228	99259	417634
1229	99339	417548
1230	99417	417457
1231	99495	417362
1232	99568	417249
1233	99646	417159
1234	99722	417059
1235	99800	416967
1236	99878	416875
1237	99949	416750
1238	100025	416651
1239	100106	416573
1240	100186	416486
1241	100265	416400
1242	100348	416328
1243	100421	416216
1244	100502	416135
1245	100582	416051
1246	100657	415946
1247	100736	415861
1248	100806	415737
1249	100879	415621
1250	100959	415538
1251	101040	415458
1252	101112	415345
1253	101190	415251
1254	101260	415129
1255	101343	415058
1256	101419	414957
1257	101493	414849
1258	101572	414761
1259	101644	414646
1260	101720	414546
1261	101801	414466
1262	101878	414368
1263	101957	414282
1264	102039	414207
1265	102117	414117
1266	102198	414036
1267	102277	413951
1268	102360	413877
1269	102432	413761
1270	102504	413648
1271	102575	413526
1272	102654	413441
1273	102734	413357
1274	102816	413280
1275	102896	413197
1276	102977	413118
1277	103053	413021
1278	103135	412946
1279	103216	412867
1280	103287	412745
1281	103357	412624
1282	103428	412503
1283	103508	412422
1284	103588	412338
1285	103668	412254
1286	103751	412185
1287	103833	412108
1288	103909	412011
1289	103987	411919
1290	104078	411880
1291	104167	411831
1292	104253	411772
1293	104385	411895
1294	104475	411850
1295	104554	411763
1296	104640	411705
1297	104756	411763
1298	104844	411710
1299	104919	411608
1300	104998	411518
1301	105073	411417
1302	105150	411322
1303	105225	411220
1304	105308	411146
1305	105385	411052
1306	105461	410951
1307	105537	410853
1308	105618	410773
1309	105695	410679
1310	105775	410597
1311	105855	410511
1312	105926	410396
1313	106006	410311
1314	106088	410235
1315	106164	410136
1316	106244	410053
1317	106326	409977
1318	106414	409924
1319	106495	409845
1320	106574	409760
1321	106655	409677
1322	106732	409585
1323	106859	409682
1324	106931	409569
1325	107023	409531
1326	107110	409473
1327	107193	409401
1328	107274	409323
1329	107358	409253
1330	107438	409169
1331	107510	409056
1332	107592	408979
1333	107673	408901
1334	107751	408809
1335	107824	408701
1336	107906	408625
1337	107987	408545
1338	108068	408465
1339	108155	408409
1340	108249	408377
1341	108331	408299
1342	108405	408195
1343	108479	408090
1344	108550	407970
1345	108626	407873
1346	108702	407774
1347	108778	407678
1348	108859	407599
1349	108939	407515
1350	109016	407418
1351	109087	407302
1352	109167	407220
1353	109245	407128
1354	109325	407047
1355	109411	406983
1356	109496	406919
1357	109580	406852
1358	109662	406774
1359	109733	406660
1360	109811	406570
1361	109886	406468
1362	109974	406413
1363	110062	406358
1364	110142	406275
1365	110223	406196
1366	110300	406103
1367	110380	406020
1368	110462	405943
1369	110540	405851
1370	110619	405765
1371	110690	405650
1372	110765	405550
1373	110838	405441
1374	110918	405358
1375	110994	405259
1376	111072	405169
1377	111158	405107
1378	111238	405024
1379	111317	404937
1380	111395	404848
1381	111485	404801
1382	111561	404703
1383	111639	404612
1384	111720	404531
1385	111801	404452
1386	111885	404386
1387	111961	404286
1388	112031	404167
1389	112104	404058
1390	112186	403986
1391	112266	403901
1392	112348	403825
1393	112427	403737
1394	112505	403650
1395	112589	403578
1396	112665	403482
1397	112747	403405
1398	112824	403311
1399	112909	403249
1400	113018	403268
1401	113107	403218
1402	113180	403110
1403	113258	403019
1404	113341	402946
1405	113419	402857
1406	113493	402752
